Team,FT1,FT2,G,W,D,L,G+,G-,GD,P2+,P%,P+,P3+
Brazil,20,20,104,71,16,17,221,102,119,158:50:00,0.76,185,229
Germany,18,16,106,66,20,20,224,121,103,152:60,0.717,179,218
Italy,18,14,83,45,20,18,128,77,51,110:56:00,0.663,124,155
Argentina,16,11,77,43,13,21,131,84,47,99:55:00,0.643,118,142
Spain,14,10,59,29,12,18,92,66,26,70:48:00,0.593,86,99
Netherlands,10,3,50,27,11,12,86,48,38,65:35:00,0.65,84,92
France,14,5,59,29,11,19,106,71,35,69:49:00,0.585,83,98
England,14,5,62,26,19,17,79,56,23,71:53:00,0.573,79,97
Uruguay,12,2,51,20,12,19,80,71,9,52:50:00,0.51,57,72
Sweden,11,-2,46,16,13,17,74,69,5,45:47:00,0.489,50,61
Mexico,15,6,53,14,14,25,57,92,-35,42:64,0.396,50,56
Yugoslavia/Serbia,11,-1,43,17,8,18,64,59,5,42:44:00,0.488,45,59
USSR/Russia,10,1,40,17,8,15,66,47,19,42:38:00,0.525,44,59
Belgium,12,1,41,14,9,18,52,66,-14,37:45:00,0.451,44,51
Portugal,6,4,26,13,4,9,43,29,14,30:22:00,0.577,37,43
Poland,7,-2,31,15,5,11,44,40,4,35:27:00,0.565,37,50
Switzerland,10,3,33,11,6,16,45,59,-14,28:38:00,0.424,34,39
Hungary,9,-7,32,15,3,14,87,57,30,33:31:00,0.516,33,48
Chile,9,2,33,11,7,15,40,49,-9,29:37:00,0.439,33,40
CSFR/Czech Republic,9,-2,33,12,5,16,47,49,-2,29:37:00,0.439,30,41
Paraguay,8,-1,27,7,10,10,30,38,-8,24:30:00,0.444,28,31
Austria,7,-4,29,12,4,13,43,47,-4,28:30:00,0.483,28,40
USA,10,7,33,8,6,19,37,62,-25,22:44,0.333,27,30
Romania,7,-4,21,8,5,8,30,32,-2,21:21,0.5,26,29
South Korea,9,8,31,5,9,17,31,67,-36,19:43,0.306,24,24
Croatia,4,1,16,7,2,7,21,17,4,16:16,0.5,23,23
Denmark,4,-1,16,8,2,6,27,24,3,18:14,0.563,23,26
Colombia,5,1,18,7,2,9,26,27,-1,16:20,0.444,22,23
Nigeria,5,2,18,5,3,10,20,26,-6,13:23,0.361,18,18
Bulgaria,7,-4,26,3,8,15,22,53,-31,14:38,0.269,17,17
Japan,5,5,17,4,4,9,14,22,-8,12:22,0.353,16,16
Cameroon,7,2,23,4,7,12,18,43,-25,15:31,0.326,16,19
Turkey,2,-3,10,5,1,4,20,17,3,11:09,0.55,15,16
Ghana,3,3,12,4,3,5,13,16,-3,11:13,0.458,15,15
Scotland,8,-4,23,4,7,12,25,41,-16,15:31,0.326,15,19
Ireland,3,-3,13,2,8,3,10,10,0,12:14,0.462,14,14
Ecuador,3,1,10,4,1,5,10,11,-1,9:11,0.45,13,13
Northern Ireland,3,-7,13,3,5,5,13,23,-10,11:15,0.423,11,14
Peru,4,-8,15,4,3,8,19,31,-12,11:19,0.367,11,15
Ivory Coast,3,3,9,3,1,5,13,14,-1,7:11,0.389,10,10
South Africa,3,-1,9,2,4,3,11,16,-5,8:10,0.444,10,10
Algeria,4,2,13,3,3,7,13,19,-6,9:17,0.346,10,12
Norway,3,-4,8,2,3,3,7,8,-1,7:09,0.438,9,9
Morocco,4,-4,13,2,4,7,12,18,-6,8:18,0.308,9,10
Australia,4,3,13,2,3,8,11,26,-15,7:19,0.269,9,9
Senegal,1,-3,5,2,2,1,7,6,1,6:04,0.6,8,8
Greece,3,2,10,2,2,6,5,20,-15,6:14,0.3,8,8
Saudi Arabia,4,-2,13,2,2,9,9,32,-23,6:20,0.231,8,8
Ukraine,1,-2,5,2,1,2,5,7,-2,5:05,0.5,7,7
German Dem. Rep.,1,-10,6,2,2,2,5,5,0,6:06,0.5,6,8
Tunisia,4,-2,12,1,4,7,8,17,-9,6:18,0.25,6,7
Iran,4,1,12,1,3,8,7,22,-15,5:19,0.208,6,6
Wales,1,-14,5,1,3,1,4,4,0,5:05,0.5,5,6
Slovakia,1,-1,4,1,1,2,5,7,-2,3:05,0.375,4,4
Slovenia,2,-1,6,1,1,4,5,10,-5,3:09,0.25,4,4
Bosnia/Herzegovina,1,1,3,1,0,2,4,4,0,2:04,0.333,3,3
Jamaica,1,-4,3,1,0,2,3,9,-6,2:04,0.333,3,3
Cuba,1,-17,3,1,1,1,5,12,-7,3:03,0.5,3,4
New Zealand,2,-1,6,0,3,3,4,14,-10,3:09,0.25,3,3
North Korea,2,-1,7,1,1,5,6,21,-15,3:11,0.214,3,4
Honduras,3,2,9,0,3,6,3,14,-11,3:15,0.167,3,3
Angola,1,-2,3,0,2,1,1,2,-1,2:04,0.333,2,2
Israel,1,-11,3,0,2,1,1,3,-2,2:04,0.333,2,2
Egypt,2,-6,4,0,2,2,3,6,-3,2:06,0.25,2,2
Kuwait,1,-8,3,0,1,2,2,6,-4,1:05,0.167,1,1
Trinidad & Tobago,1,-2,3,0,1,2,0,4,-4,1:05,0.167,1,1
Bolivia,3,-5,6,0,1,5,1,20,-19,1:11,0.083,1,1
Netherl. India,1,-17,1,0,0,1,0,6,-6,0:02,0,0,0
Iraq,1,-7,3,0,0,3,1,4,-3,0:06,0,0,0
Togo,1,-2,3,0,0,3,1,6,-5,0:06,0,0,0
Canada,1,-7,3,0,0,3,0,5,-5,0:06,0,0,0
United Arab Emirates,1,-6,3,0,0,3,2,11,-9,0:06,0,0,0
China,1,-3,3,0,0,3,0,9,-9,0:06,0,0,0
Haiti,1,-10,3,0,0,3,2,14,-12,0:06,0,0,0
Zaire,1,-10,3,0,0,3,0,14,-14,0:06,0,0,0
El Salvador,2,-8,6,0,0,6,1,22,-21,0:12,0,0,0
